"","Cell.line.name","Tissue","area_under_curve","most_sensitive","least_sensitive"
"219","HT1080","soft_tissue",11.883,0,0
"220","HT115","large_intestine",8.8824,1,0
"221","HT1197","urinary_tract",12.15,0,0
"222","HT1376","urinary_tract",15,0,1
"223","HT144","skin",11.753,0,0
"224","HT29","large_intestine",12.514,0,1
"225","HT55","large_intestine",15.079,0,1
"226","HUCCT1","biliary_tract",10.069,1,0
"227","HUG1N","stomach",11,0,0
"228","HUH1","liver",12.822,0,1
"229","HUH28","biliary_tract",10.553,1,0
"230","HUH6","liver",14.99,0,1
"231","HUPT3","pancreas",12.482,0,1
"232","HUPT4","pancreas",14.276,0,1
"233","IALM","lung",17.552,0,1
"234","IGR1","skin",11.2,0,0
"235","IGR37","skin",8.2446,1,0
"236","IGR39","skin",11.508,0,0
"237","IGROV1","ovary",12.715,0,1
"238","IGROV1","ovary",10.533,1,0
"239","IM95","stomach",10.001,1,0
"240","IMR32","autonomic_ganglia",3.2914,1,0
"241","IPC298","skin",15.241,0,1
"242","ISHIKAWAHERAKLIO02ER","endometrium",11.803,0,0
"243","ISTMES1","pleura",12.886,0,1
"244","J82","urinary_tract",8.473,1,0
"245","JHH1","liver",11.413,0,0
"246","JHH2","liver",14.096,0,1
"247","JHH4","liver",12.245,0,0
"248","JHH5","liver",7.6146,1,0
"249","JHOC5","ovary",11.542,0,0
"250","JHOM1","ovary",14.226,0,1
"251","JHOS2","ovary",11.252,0,0
"252","JHUEM1","endometrium",8.5983,1,0
"253","JHUEM2","endometrium",3.689,1,0
"254","JHUEM3","endometrium",12.017,0,0
"255","JIMT1","breast",13.13,0,1
"256","JL1","pleura",14.268,0,1
"257","JMSU1","urinary_tract",10.608,1,0
"258","K029AX","skin",11.977,0,0
"259","KALS1","central_nervous_system",13.111,0,1
"260","KATOIII","stomach",12.994,0,1
"261","KE39","stomach",13.61,0,1
"262","KE39","stomach",14.261,0,1
"263","KELLY","autonomic_ganglia",9.1946,1,0
"264","KG1C","central_nervous_system",13.138,0,1
"265","KLE","endometrium",13.151,0,1
"266","KM12","large_intestine",13.402,0,1
"267","KMBC2","urinary_tract",16.279,0,1
"268","KMRC1","kidney",11.997,0,0
"269","KMRC2","kidney",13.554,0,1
"270","KMRC20","kidney",10.323,1,0
"271","KNS42","central_nervous_system",13.805,0,1
"272","KNS60","central_nervous_system",11.968,0,0
"273","KNS62","lung",12.45,0,1
"274","KNS81","central_nervous_system",12.134,0,0
"275","KP2","pancreas",14.648,0,1
"276","KP3","pancreas",12.731,0,1
"277","KP4","pancreas",7.7207,1,0
"278","KPL1","breast",13.019,0,1
"279","KPNSI9S","autonomic_ganglia",10.916,0,0
