"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","most_sensitive","least_sensitive"
"37",687821,"NCI-H2405","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.73030906,0,0
"38",687829,"NCI-H661","lung_NSCLC","lung_NSCLC_large cell",6.07358793,0,1
"39",687983,"DMS-114","lung_SCLC","lung_small_cell_carcinoma",6.0086406,0,0
"40",687995,"NCI-H1048","lung_SCLC","lung_small_cell_carcinoma",5.17909386,1,0
"41",687997,"NCI-H1092","lung_SCLC","lung_small_cell_carcinoma",5.80730268,0,0
"42",688001,"NCI-H1417","lung_SCLC","lung_small_cell_carcinoma",5.27894964,1,0
"43",688006,"NCI-H1694","lung_SCLC","lung_small_cell_carcinoma",4.80287116,1,0
"44",688007,"NCI-H187","lung_SCLC","lung_small_cell_carcinoma",5.92165877,0,0
"45",688011,"NCI-H2029","lung_SCLC","lung_small_cell_carcinoma",5.87414717,0,0
"46",688013,"NCI-H209","lung_SCLC","lung_small_cell_carcinoma",5.61729276,0,0
"47",688014,"NCI-H2141","lung_SCLC","lung_small_cell_carcinoma",6.05641452,0,1
"48",688018,"NCI-H2227","lung_SCLC","lung_small_cell_carcinoma",5.74729512,0,0
"49",688021,"NCI-H345","lung_SCLC","lung_small_cell_carcinoma",5.52380009,1,0
"50",688023,"NCI-H446","lung_SCLC","lung_small_cell_carcinoma",5.07599436,1,0
"51",688025,"NCI-H526","lung_SCLC","lung_small_cell_carcinoma",5.83930177,0,0
"52",688027,"NCI-H69","lung_SCLC","lung_small_cell_carcinoma",5.29707254,1,0
"53",688031,"NCI-H82","lung_SCLC","lung_small_cell_carcinoma",5.72779813,0,0
"54",688086,"SK-N-DZ","neuroblastoma","neuroblastoma",5.88053833,0,0
"55",688087,"SK-N-FI","neuroblastoma","neuroblastoma",5.42348023,1,0
"56",688121,"VA-ES-BJ","soft_tissue","soft_tissue_other",5.74398716,0,0
"57",713869,"VMRC-LCD","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.07671838,1,0
"58",713878,"LU-139","lung_SCLC","lung_small_cell_carcinoma",5.39269771,1,0
"59",713880,"SBC-5","lung_SCLC","lung_small_cell_carcinoma",4.87694213,1,0
"60",713885,"SBC-1","lung_SCLC","lung_small_cell_carcinoma",5.51103141,1,0
"61",713899,"LU-135","lung_SCLC","lung_small_cell_carcinoma",4.97074439,1,0
"62",717431,"SK-N-SH","neuroblastoma","neuroblastoma",5.71659485,0,0
"63",722045,"NCI-H2030","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.90646678,0,0
"64",722046,"NCI-H2122","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.6727859,0,0
"65",722066,"NCI-H650","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.22019555,0,1
"66",724812,"T-24","urogenital_system","Bladder",5.77468674,0,0
"67",724828,"SK-N-AS","neuroblastoma","neuroblastoma",6.23240321,0,1
"68",724831,"NCI-H1299","lung_NSCLC","lung_NSCLC_large cell",5.13147102,1,0
"69",724834,"NCI-H2087","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.56058758,0,0
"70",724838,"UM-UC-3","urogenital_system","Bladder",5.46657358,1,0
"71",724839,"SW756","urogenital_system","cervix",4.83760473,1,0
"72",724855,"NCI-H727","lung_NSCLC","lung_NSCLC_carcinoid",6.9352343,0,1
"73",724859,"Calu-6","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.7708359,0,0
"74",724863,"LU-65","lung_NSCLC","lung_NSCLC_large cell",6.2444581,0,1
"75",724866,"NCI-H1355","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.68922943,0,1
"76",724868,"NCI-H1792","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.56061317,0,0
"77",724869,"HPAF-II","pancreas","pancreas",6.29369776,0,1
