"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"597","TC71","bone",10.599,1,0
"598","TCCPAN2","pancreas",14.277,0,1
"599","TCCSUP","urinary_tract",13.062,0,0
"600","TE1","oesophagus",14.184,0,1
"601","TE10","oesophagus",14.468,0,1
"602","TE11","oesophagus",12.212,0,0
"603","TE14","oesophagus",13.423,0,0
"604","TE15","oesophagus",11.895,0,0
"605","TE4","oesophagus",12.514,0,0
"606","TE441T","soft_tissue",10.857,1,0
"607","TE5","oesophagus",12.394,0,0
"608","TE6","oesophagus",13.509,0,0
"609","TE617T","soft_tissue",10.226,1,0
"610","TE8","oesophagus",12.876,0,0
"611","TE9","oesophagus",12.635,0,0
"612","TM31","central_nervous_system",13.488,0,0
"613","TOV112D","ovary",10.187,1,0
"614","TOV21G","ovary",14.781,0,1
"615","TT2609C02","thyroid",11.814,0,0
"616","TTTHYROID","thyroid",14.697,0,1
"617","TUHR10TKB","kidney",13.243,0,0
"618","TUHR14TKB","kidney",12.699,0,0
"619","TUHR4TKB","kidney",13.817,0,0
"620","TYKNU","ovary",12.598,0,0
"621","U118MG","central_nervous_system",12.764,0,0
"622","U251MG","central_nervous_system",12.284,0,0
"623","U2OS","bone",9.4995,1,0
"624","U87MG","central_nervous_system",14.608,0,1
"625","UACC257","skin",13.478,0,0
"626","UACC62","skin",13.57,0,0
"627","UBLC1","urinary_tract",12.284,0,0
"628","UMUC1","urinary_tract",11.828,0,0
"629","UMUC3","urinary_tract",12.136,0,0
"630","VCAP","prostate",13.44,0,0
"631","VMCUB1","urinary_tract",11.948,0,0
"632","VMRCLCD","lung",13.621,0,0
"633","VMRCRCW","kidney",13.935,0,0
"634","VMRCRCZ","kidney",14.443,0,1
"635","WM115","skin",12.742,0,0
"636","WM1799","skin",13.608,0,0
"637","WM2664","skin",12.001,0,0
"638","WM793","skin",12.833,0,0
"639","WM88","skin",12.567,0,0
"640","WM983B","skin",12.7,0,0
"641","YAPC","pancreas",13.373,0,0
"642","YD10B","upper_aerodigestive_tract",13.814,0,0
"643","YD15","salivary_gland",11.848,0,0
"644","YD38","upper_aerodigestive_tract",13.547,0,0
"645","YD8","upper_aerodigestive_tract",13.553,0,0
"646","YH13","central_nervous_system",11.793,0,0
"647","YKG1","central_nervous_system",12.815,0,0
"648","ZR751","breast",13.248,0,0
"649","ZR7530","breast",14.566,0,1
