"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","most_sensitive","least_sensitive"
"47",688025,"NCI-H526","lung_SCLC","lung_small_cell_carcinoma",1.45899393,1,0
"48",688026,"NCI-H64","lung_SCLC","lung_small_cell_carcinoma",2.702504,0,0
"49",688027,"NCI-H69","lung_SCLC","lung_small_cell_carcinoma",4.35323382,0,1
"50",688031,"NCI-H82","lung_SCLC","lung_small_cell_carcinoma",1.51187475,1,0
"51",688058,"NCI-H2052","lung","mesothelioma",4.56030965,0,1
"52",688086,"SK-N-DZ","neuroblastoma","neuroblastoma",2.45658783,0,0
"53",688087,"SK-N-FI","neuroblastoma","neuroblastoma",4.19241983,0,1
"54",688121,"VA-ES-BJ","soft_tissue","soft_tissue_other",0.99295449,1,0
"55",713869,"VMRC-LCD","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.36139685,0,0
"56",713878,"LU-139","lung_SCLC","lung_small_cell_carcinoma",3.93267401,0,0
"57",713880,"SBC-5","lung_SCLC","lung_small_cell_carcinoma",3.0718634,0,0
"58",713885,"SBC-1","lung_SCLC","lung_small_cell_carcinoma",4.63468696,0,1
"59",713899,"LU-135","lung_SCLC","lung_small_cell_carcinoma",2.35774076,0,0
"60",717431,"SK-N-SH","neuroblastoma","neuroblastoma",1.94643231,0,0
"61",722046,"NCI-H2122","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.41878784,0,0
"62",722058,"NCI-H1734","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.04665976,0,0
"63",722066,"NCI-H650","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.84672381,0,0
"64",724828,"SK-N-AS","neuroblastoma","neuroblastoma",2.40691226,0,0
"65",724834,"NCI-H2087","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.72346719,0,0
"66",724838,"UM-UC-3","urogenital_system","Bladder",1.77943929,1,0
"67",724839,"SW756","urogenital_system","cervix",2.140665,0,0
"68",724855,"NCI-H727","lung_NSCLC","lung_NSCLC_carcinoid",4.5274113,0,1
"69",724859,"Calu-6","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.84717612,0,0
"70",724863,"LU-65","lung_NSCLC","lung_NSCLC_large cell",5.02687594,0,1
"71",724868,"NCI-H1792","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.39463201,0,0
"72",724870,"MIA-PaCa-2","pancreas","pancreas",0.40111093,1,0
"73",724872,"SHP-77","lung_SCLC","lung_small_cell_carcinoma",4.6436579,0,1
"74",724873,"NCI-H2009","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.65137431,0,0
"75",724874,"NCI-H2291","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.55132644,0,1
"76",724878,"SW1573","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.81771975,0,0
"77",735784,"TE-5","aero_dig_tract","oesophagus",2.99764162,0,0
"78",749709,"HCC1954","breast","breast",4.21137121,0,1
"79",749710,"HCC1143","breast","breast",3.92654645,0,0
"80",749711,"HCC1187","breast","breast",2.44111727,0,0
"81",749712,"HCC1395","breast","breast",2.30756028,0,0
"82",749714,"HCC1937","breast","breast",3.0271833,0,0
"83",749715,"HCC2157","breast","breast",3.25929986,0,0
"84",749716,"HCC2218","breast","breast",5.05328721,0,1
"85",749717,"HCC38","breast","breast",4.32138863,0,1
"86",753531,"BB30-HNC","aero_dig_tract","head and neck",1.7649038,1,0
"87",753532,"BB49-HNC","aero_dig_tract","head and neck",4.16625801,0,1
"88",753533,"BB65-RCC","kidney","kidney",1.14203318,1,0
"89",753538,"Ca9-22","aero_dig_tract","head and neck",2.14052485,0,0
"90",753539,"CADO-ES1","bone","ewings_sarcoma",2.05918957,0,0
"91",753540,"CAL-12T","lung_NSCLC","lung_NSCLC_not specified",4.96982067,0,1
"92",753541,"CAL-33","aero_dig_tract","head and neck",1.84473376,1,0
"93",753545,"CP50-MEL-B","skin","melanoma",3.62189722,0,0
"94",753546,"CP66-MEL","skin","melanoma",3.50895149,0,0
"95",753547,"CPC-N","lung_SCLC","lung_small_cell_carcinoma",2.83885448,0,0
"96",753549,"D-542MG","nervous_system","glioma",3.4575885,0,0
"97",753551,"DMS-79","lung_SCLC","lung_small_cell_carcinoma",3.08682194,0,0
"98",753552,"DSH1","urogenital_system","Bladder",3.8393146,0,0
"99",753554,"EBC-1","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",3.36243097,0,0
"100",753555,"EC-GI-10","aero_dig_tract","oesophagus",2.64017622,0,0
"101",753556,"EPLC-272H","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",2.80210892,0,0
"102",753558,"HA7-RCC","kidney","kidney",2.23144118,0,0
"103",753561,"HO-1-u-1","aero_dig_tract","head and neck",2.9469713,0,0
"104",753562,"HSC-2","aero_dig_tract","head and neck",3.07220819,0,0
"105",753564,"IST-SL1","lung_SCLC","lung_small_cell_carcinoma",3.53296898,0,0
"106",753565,"IST-SL2","lung_SCLC","lung_small_cell_carcinoma",3.30712326,0,0
"107",753569,"KNS-62","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",2.67170269,0,0
"108",753573,"KYSE-140","aero_dig_tract","oesophagus",0.80851884,1,0
"109",753574,"KYSE-410","aero_dig_tract","oesophagus",2.82888353,0,0
"110",753575,"KYSE-520","aero_dig_tract","oesophagus",3.33401055,0,0
"111",753576,"KYSE-70","aero_dig_tract","oesophagus",3.36139392,0,0
"112",753577,"LB1047-RCC","kidney","kidney",1.9652189,0,0
"113",753578,"LB2241-RCC","kidney","kidney",2.48531212,0,0
"114",753579,"LB2518-MEL","skin","melanoma",4.69104441,0,1
"115",753581,"LB373-MEL-D","skin","melanoma",2.56375624,0,0
"116",753582,"LB647-SCLC","lung_SCLC","lung_small_cell_carcinoma",2.3649786,0,0
"117",753583,"LB771-HNC","aero_dig_tract","head and neck",2.75470387,0,0
"118",753584,"LB831-BLC","urogenital_system","Bladder",4.03203812,0,1
"119",753586,"LCLC-103H","lung_NSCLC","lung_NSCLC_large cell",2.47324499,0,0
"120",753588,"LU-134-A","lung_SCLC","lung_small_cell_carcinoma",2.90181491,0,0
"121",753589,"LU-165","lung_SCLC","lung_small_cell_carcinoma",5.21209078,0,1
"122",753592,"LXF-289","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.52884347,0,0
"123",753594,"MS-1","lung_SCLC","lung_small_cell_carcinoma",4.40261661,0,1
"124",753595,"MZ1-PC","pancreas","pancreas",2.83792649,0,0
"125",753599,"NCI-H1304","lung_SCLC","lung_small_cell_carcinoma",3.98419859,0,1
"126",753600,"NCI-H1563","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.29065972,0,0
"127",753604,"NCI-H292","lung_NSCLC","lung_NSCLC_adenocarcinoma",4.52548394,0,1
"128",753605,"NCI-H510A","lung_SCLC","lung_small_cell_carcinoma",2.70299118,0,0
"129",753607,"NCI-H835","lung_NSCLC","lung_NSCLC_carcinoid",4.23508763,0,1
"130",753608,"PC-14","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.7822745,1,0
"131",753610,"SBC-3","lung_SCLC","lung_small_cell_carcinoma",1.2465788,1,0
"132",753614,"TE-15","aero_dig_tract","oesophagus",3.48151743,0,0
"133",753616,"BE2-M17","neuroblastoma","neuroblastoma",2.63525728,0,0
"134",753618,"KELLY","neuroblastoma","neuroblastoma",2.59793887,0,0
"135",753620,"SIMA","neuroblastoma","neuroblastoma",2.5113823,0,0
"136",753621,"TE-1","aero_dig_tract","oesophagus",3.27435205,0,0
"137",753623,"TE-8","aero_dig_tract","oesophagus",2.31101459,0,0
"138",753624,"CAPAN-1","pancreas","pancreas",1.81028484,1,0
"139",905935,"DU-145","urogenital_system","prostate",2.48144373,0,0
"140",905936,"HCT-116","large_intestine","large_intestine",2.79502496,0,0
"141",905937,"HCT-15","large_intestine","large_intestine",2.95124401,0,0
"142",905939,"HT-29","large_intestine","large_intestine",2.96117164,0,0
"143",905941,"NCI-H226","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",3.54884352,0,0
"144",905942,"NCI-H23","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.72652072,1,0
"145",905945,"T47D","breast","breast",4.83133468,0,1
"146",905946,"MCF7","breast","breast",3.11964243,0,0
"147",905948,"A498","kidney","kidney",3.0763274,0,0
"148",905949,"A549","lung_NSCLC","lung_NSCLC_adenocarcinoma",2.38439979,0,0
"149",905950,"ACHN","kidney","kidney",2.03556062,0,0
"150",905951,"BT-549","breast","breast",3.39025551,0,0
"151",905955,"SK-MEL-2","skin","melanoma",2.22214998,0,0
"152",905956,"SK-MEL-5","skin","melanoma",2.27571787,0,0
"153",905957,"Hs-578-T","breast","breast",2.53122876,0,0
"154",905959,"SK-OV-3","urogenital_system","ovary",3.97507714,0,1
"155",905960,"MDA-MB-231","breast","breast",2.92811184,0,0
"156",905961,"COLO-205","large_intestine","large_intestine",4.1794993,0,1
"157",905962,"SW620","large_intestine","large_intestine",1.89791326,1,0
"158",905963,"CAKI-1","kidney","kidney",2.25170954,0,0
"159",905967,"NCI-H322M","lung_NSCLC","lung_NSCLC_adenocarcinoma",4.44167672,0,1
"160",905968,"IGROV-1","urogenital_system","ovary",3.02901097,0,0
"161",905969,"OVCAR-5","urogenital_system","ovary",1.29838178,1,0
"162",905970,"EKVX","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.603742,0,1
"163",905971,"HCC2998","large_intestine","large_intestine",2.72113123,0,0
"164",905972,"HOP-62","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.57668114,1,0
"165",905973,"HOP-92","lung_NSCLC","lung_NSCLC_large cell",1.04574078,1,0
"166",905975,"M14","skin","melanoma",3.90986013,0,0
"167",905976,"UACC-62","skin","melanoma",2.44029675,0,0
"168",905977,"UACC-257","skin","melanoma",3.83098128,0,0
"169",905978,"RXF393","kidney","kidney",1.94276848,1,0
"170",905980,"TK10","kidney","kidney",3.28991921,0,0
"171",905982,"SNB75","nervous_system","glioma",3.87822102,0,0
"172",905983,"U251","nervous_system","glioma",2.26433048,0,0
"173",905984,"SF539","nervous_system","glioma",1.38051338,1,0
"174",905985,"SF295","nervous_system","glioma",2.40149418,0,0
"175",905986,"SF268","nervous_system","glioma",0.56730684,1,0
"176",905989,"KM12","large_intestine","large_intestine",3.81662061,0,0
"177",905990,"OVCAR-4","urogenital_system","ovary",3.00875818,0,0
"178",905991,"OVCAR-8","urogenital_system","ovary",2.40959051,0,0
"179",906693,"BxPC-3","pancreas","pancreas",2.05935145,0,0
"180",906696,"BHT-101","thyroid","thyroid",1.19158193,1,0
"181",906746,"Becker","nervous_system","glioma",2.74728498,0,0
"182",906790,"AGS","digestive_system","stomach",2.61172663,0,0
"183",906791,"ABC-1","lung_NSCLC","lung_NSCLC_adenocarcinoma",1.00270679,1,0
"184",906792,"A2058","skin","melanoma",1.36685671,1,0
"185",906793,"A375","skin","melanoma",0.30732377,1,0
"186",906794,"A253","aero_dig_tract","head and neck",2.10419852,0,0
"187",906795,"8305C","thyroid","thyroid",4.09438827,0,1
"188",906797,"647-V","urogenital_system","Bladder",2.25382445,0,0
"189",906798,"639-V","urogenital_system","Bladder",0.79692165,1,0
"190",906801,"BT-20","breast","breast",3.40673386,0,0
"191",906804,"A2780","urogenital_system","ovary",1.59466435,1,0
"192",906808,"COR-L88","lung_SCLC","lung_small_cell_carcinoma",5.20649563,0,1
"193",906812,"COLO-824","breast","breast",4.88696471,0,1
"194",906813,"COLO-800","skin","melanoma",2.55335625,0,0
"195",906817,"COLO-680N","aero_dig_tract","oesophagus",3.74516179,0,0
"196",906818,"COLO-679","skin","melanoma",2.43190916,0,0
"197",906820,"CHP-212","neuroblastoma","neuroblastoma",1.52865046,1,0
"198",906821,"CFPAC-1","pancreas","pancreas",3.26873283,0,0
"199",906823,"CCF-STTG1","nervous_system","glioma",2.96703112,0,0
